2025-01-17T16:47:29.305Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:11.228Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:14.049Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:31.852Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:34.786Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:35.945Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:41.516Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:42.850Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:45.786Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:51.216Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:48:57.314Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:49:32.631Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:49:36.004Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:49:38.918Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:49:42.773Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:49:55.856Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:50:10.758Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:50:20.354Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:50:26.784Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T16:50:32.215Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:31:05.416Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:31:05.423Z [INFO]: Server draait op poort 8888;
2025-01-17T17:31:21.433Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:34:44.303Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:34:48.083Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:36:05.248Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:36:34.121Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:36:35.208Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:36:40.635Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:36:58.892Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:37:02.658Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:37:05.994Z [INFO]: Succesvol verbonden met MongoDB
2025-01-17T17:37:08.176Z [INFO]: Succesvol verbonden met MongoDB
